word,relative_frequency
entire,0.047
e,0.047
building,0.047
victim,0.047
piece,0.047
tear,0.047
best friend,0.047
right now,0.047
long time,0.047
right away,0.047
tell us,0.047
bear,0.04
water,0.04
smell,0.04
o'clock,0.04
summer,0.04
principal,0.04
easier,0.04
austrian,0.04
ahead,0.04
join,0.04
expelled,0.04
managed,0.04
symbol,0.04
power,0.04
shoe,0.04
j,0.04
explain,0.04
destroyed,0.04
small,0.04
n,0.04
b,0.04
threw,0.04
leader,0.04
full,0.04
outside,0.04
inside,0.04
matter,0.04
instead,0.04
ing,0.04
wonderful,0.04
shopping,0.04
period,0.04
committee,0.04
free,0.04
lady,0.04
educate,0.04
ma,0.04
dressed,0.04
shirt,0.04
bombing,0.04
tonight,0.04
teach,0.04
liked,0.04
pilot,0.04
idiot,0.04
fernsehen,0.04
floor,0.04
watching,0.04
shilling,0.04
required,0.04
whatever,0.04
support,0.04
realize,0.04
hate,0.04
light,0.04
birthday,0.04
celebrate,0.04
marry,0.04
line,0.04
culture,0.04
reminded,0.04
foot,0.04
interesting,0.04
conversation,0.04
eighteen,0.04
former,0.04
bravo,0.04
fear,0.04
project,0.04
june,0.04
magazine,0.04
saving,0.04
explained,0.04
goes,0.04
armelle,0.04
putting,0.04
paradise,0.04
group,0.04
population,0.04
siamak,0.04
reading,0.04
learn,0.04
stand,0.04
asshole,0.04
high,0.04
walk,0.04
miracle,0.04
plane,0.04
christmas,0.04
cost,0.04
cans,0.04
interest,0.04
follow,0.04
european,0.04
saturday,0.04
weekend,0.04
born,0.04
maid,0.04
mali,0.04
next morning,0.04
baba levy,0.04
clap clap,0.04
years ago,0.04
u s,0.04
every night,0.04
three years,0.04
ding dong,0.04
eight years,0.04
big deal,0.04
niloufar,0.034
innocent,0.034
gets,0.034
supposed,0.034
veins,0.034
eve,0.034
spend,0.034
lying,0.034
dignity,0.034
advice,0.034
considered,0.034
somewhere,0.034
report,0.034
considering,0.034
business,0.034
excuse,0.034
chocolate,0.034
cry,0.034
important,0.034
holy,0.034
president,0.034
allow,0.034
conscience,0.034
among,0.034
bath,0.034
near,0.034
